group,samples,frequency_mean_hz,frequency_min_hz,frequency_max_hz,mass_mean_kg,nodes_mean,ctetra_mean
g1,20,1025.1629456104013,321.12719289859075,1784.598470748956,11.361933536981384,487642.25,287580.2
g2,25,751.5293172193279,245.04534052876028,1828.6994661860751,11.608266498241756,524505.76,306229.32
