mu_s,omega2_stick_xy,omega2_stick_z,omega2_slip_xy,omega2_slip_z,freq_stick_xy_hz,freq_stick_z_hz,freq_slip_xy_hz,freq_slip_z_hz
0.0,10000.0,10000010000.0,10000.0,10000010000.0,15.915494309189533,15915.5022669347,15.915494309189533,15915.5022669347
0.1,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
0.2,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
0.30000000000000004,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
0.4,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
0.5,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
0.6000000000000001,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
0.7000000000000001,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
0.8,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
0.9,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
1.0,1000010000.0,10000010000.0,10000.0,10000010000.0,5032.946374991845,15915.5022669347,15.915494309189533,15915.5022669347
